Original Name,Deutscher Name,Deutscher Prompt
Daily Planner Prompt,Täglicher Planer-Prompt,"Erstelle auf Basis dieser Aufgaben: [Liste einfügen] einen fokussierten, stundenweisen Zeitplan für meinen Tag und füge Pufferzeiten für Pausen und unerwartete Unterbrechungen hinzu."
Top 3 Priorities Prompt,Prompt für Top-3-Prioritäten,"Basierend auf dieser To-do-Liste [Liste einfügen] identifiziere die drei wichtigsten Aufgaben, die ich heute nach Dringlichkeit und Wirkung priorisieren sollte."
Pomodoro Workflow Prompt,Pomodoro-Ablauf-Prompt,"Unterteile diese Arbeitssitzung in drei Pomodoro-Intervalle mit 5-minütigen Pausen, verwende dafür diese Aufgabe: [Aufgabe einfügen], und schlage eine abschließende Überprüfung vor."
Morning Motivation Prompt,Morgenmotivations-Prompt,"Gib mir eine kurze motivierende Nachricht, um den Tag kraftvoll zu beginnen. Mein aktueller Fokus ist: [dein Ziel]."
End-of-Day Reflection Prompt,Tagesrückblick-Prompt,"Hilf mir, zu reflektieren, was ich heute erreicht habe, und schlage einen Bereich vor, den ich morgen verbessern kann."
Professional Email Prompt,Professioneller E-Mail-Prompt,"Schreibe eine professionelle E-Mail, um eine Statusaktualisierung zu [Projekt oder Thema] von [Person] anzufordern, und halte den Ton höflich, aber klar."
Meeting Follow-Up Prompt,Meeting-Nachverfolgungs-Prompt,"Erzeuge eine kurze Nachfassnachricht, die die wichtigsten Punkte aus meinem Meeting zu [Thema] zusammenfasst, und füge für jeden Beteiligten Aktionspunkte hinzu."
Inbox Summary Prompt,Posteingangs-Zusammenfassungs-Prompt,"Fasse die Aufgaben aus diesen E-Mails zusammen: [E-Mails einfügen], und liste auf, wem ich bis zum Ende des Tages antworten muss."
Polite Decline Prompt,Höflicher Ablehnungs-Prompt,"Verfasse eine respektvolle E-Mail, um [Meeting/Einladung] abzulehnen, und lasse die Möglichkeit für eine zukünftige Zusammenarbeit offen."
Team Update Prompt,Team-Update-Prompt,"Entwerfe ein kurzes Slack-Update, um mein Team über den Fortschritt bei [Projekt/Aufgabe] zu informieren, und erwähne, was als Nächstes ansteht."
Task Breakdown Prompt,Aufgaben-Aufschlüsselungs-Prompt,"Zerlege diese große Aufgabe [Aufgabe einfügen] in kleinere Schritte, schätze die benötigte Zeit für jeden und liste sie in Ausführungsreihenfolge auf."
Delegation Prompt,Delegations-Prompt,"Empfehle aus dieser Aufgabenliste [Liste einfügen], welche Aufgaben ich delegieren sollte und wie ich mein Team oder meinen Assistenten für jede Aufgabe anleiten kann."
Weekly Checklist Prompt,Wöchentliche Checklisten-Prompt,"Erstelle eine wöchentliche Aufgaben-Checkliste für die Verwaltung von [Inhalt, Outreach, Verwaltung usw.], organisiert nach Wochentag und Zeitfenster."
Meeting Agenda Prompt,Meeting-Agenda-Prompt,"Erstelle eine 30-minütige Meeting-Agenda zur Besprechung von [Thema/Projekt], einschließlich Einleitung, Diskussionspunkte und nächste Schritte."
Weekly Planning Prompt,Wöchentlicher Planungs-Prompt,"Plane meine Woche mit drei Hauptzielen, vorgeschlagenen Fokusthemen für jeden Tag und Pufferzeiten für dringende Aufgaben."
Work-Life Schedule Prompt,Work-Life-Balance-Zeitplan-Prompt,"Erstelle einen ausgewogenen Tagesablauf mit Zeit für Arbeit, Mahlzeiten, Pausen und 30 Minuten Bewegung oder Achtsamkeit."
Healthy Meal Plan Prompt,Gesunder Mahlzeitenplan-Prompt,"Schlage einen einfachen vegetarischen Ernährungsplan für heute mit wenig Zucker vor, einschließlich drei Gerichten mit schneller Zubereitung und gesunden Snacks."
Break Reminder Prompt,Pausen-Erinnerungs-Prompt,"Richte eine Liste von Pausenerinnerungen für meinen Arbeitstag ein, um Ermüdung zu vermeiden – einschließlich Dehnübungen, Hydrierung und Ruhezeiten."
Mood Tracker Prompt,Stimmungs-Tracker-Prompt,Führe mich durch einen schnellen täglichen Check-in zur Stimmungserfassung mit einer Skala von 1–5 und drei Reflexionsfragen.
Focus Booster Prompt,Konzentrations-Steigerungs-Prompt,"Gib mir drei praktische Tipps zur Steigerung der Konzentration, die ich während meiner nächsten 90-minütigen Deep-Work-Sitzung anwenden kann."
Daily Learning Prompt,Täglicher Lern-Prompt,Lehre mich in weniger als fünf Minuten ein neues Konzept im Bereich [Thema] und gib ein Beispiel oder einen Anwendungsfall an.
Quote of the Day Prompt,Zitat-des-Tages-Prompt,"Gib mir ein inspirierendes Zitat zu [Führung/Mentalität/Produktivität] und erkläre, wie ich es heute anwenden kann."
Skill Builder Prompt,Fähigkeits-Entwicklungs-Prompt,"Schlage eine zehnminütige Übung vor, die ich heute durchführen kann, um meine Fähigkeiten in [Kommunikation, Kreativität oder Konzentration] zu verbessern."
Daily Journal Prompt,Täglicher Journal-Prompt,"Führe mich durch eine kurze Journaling-Sitzung mit drei Impulsen, um über meinen Fortschritt und meine Dankbarkeit nachzudenken."
Mini Challenge Prompt,Mini-Herausforderungs-Prompt,"Gib mir eine Mikro-Herausforderung, die ich heute in weniger als 10 Minuten erledigen kann, um meine Denkweise, Gewohnheiten oder Disziplin zu verbessern."
